Region,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central and Eastern Europe,Albania,0.11,0.33,0.39,0.97,2.42,6.04,9.61,15.04,23.86,41.2,45.0,47.0,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.55,72.24
Arab Region,Algeria,0.49,0.65,1.59,2.2,4.63,5.84,7.38,9.45,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.95,47.69,49.04,57.5,57.5
Africa,Angola,0.11,0.14,0.27,0.37,0.46,1.14,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,21.4,29.0,29.0,32.0,35.0,36.0,36.0
Central and Eastern Europe,Armenia,1.3,1.63,1.96,4.58,4.9,5.25,5.63,6.02,6.21,15.3,25.0,32.0,37.5,41.9,54.62,59.1,64.35,64.74,68.25,66.54,66.54
Western Europe and North America,Austria,33.73,39.19,36.56,42.7,54.28,58.0,63.6,69.37,72.87,73.45,75.17,78.74,80.03,80.62,81.0,83.94,84.32,87.94,87.48,87.75,87.53
Arab Region,Bahrain,6.15,15.04,18.05,21.55,21.46,21.3,28.24,32.91,51.95,53.0,55.0,77.0,88.0,90.0,90.5,93.48,98.0,95.88,98.64,99.7,99.54
Asia and the Pacific,Bangladesh,0.07,0.13,0.14,0.16,0.2,0.24,1.0,1.8,2.5,3.1,3.7,4.5,5.0,6.63,7.4,8.3,9.2,10.3,11.5,12.9,12.9
Western Europe and North America,Belgium,29.43,31.29,46.33,49.97,53.86,55.82,59.72,64.44,66.0,70.0,75.0,81.61,80.72,82.17,85.0,85.05,86.52,87.68,88.65,90.28,91.52
Africa,Benin,0.23,0.36,0.7,0.95,1.18,1.27,1.54,1.79,1.85,2.24,3.13,4.15,4.5,4.9,6.0,11.25,11.99,13.3,26.0,29.0,29.0
Latin America and the Caribbean,Bolivia (Plurinational State of),1.44,2.12,3.12,3.51,4.44,5.23,6.2,10.5,12.5,16.8,22.4,30.0,35.34,36.99,34.6,37.49,39.7,43.83,44.29,47.47,55.14
Central and Eastern Europe,Bosnia and Herzegovina,1.08,1.2,2.65,3.97,15.47,21.33,25.12,27.92,34.66,37.74,42.75,43.89,45.06,48.52,49.92,52.6,60.26,64.89,70.12,69.95,73.21
Africa,Botswana,2.9,3.43,3.39,3.35,3.3,3.26,4.29,5.28,6.25,6.15,6.0,9.0,16.0,30.0,36.74,37.31,39.36,41.41,58.0,61.0,61.0
Latin America and the Caribbean,Brazil,2.87,4.53,9.15,13.21,19.07,21.02,28.18,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55,58.33,60.87,67.47,70.43,73.91,73.91
Asia and the Pacific,Brunei Darussalam,9.0,12.92,15.33,19.6,29.72,36.47,42.19,44.68,46.0,49.0,53.0,56.0,60.27,64.5,68.77,71.2,90.0,94.87,95.0,95.0,95.0
Central and Eastern Europe,Bulgaria,5.37,7.61,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45.0,46.23,47.98,51.9,53.06,55.49,56.66,59.83,63.41,64.78,67.95,70.16
Africa,Burkina Faso,0.08,0.16,0.2,0.37,0.4,0.47,0.63,0.75,0.92,1.13,2.4,3.0,3.73,5.0,6.0,7.0,9.0,12.0,14.0,18.0,18.0
Africa,Burundi,0.08,0.11,0.12,0.2,0.35,0.54,0.66,0.7,0.81,0.9,1.0,1.11,1.22,1.26,1.4,2.1,2.4,2.66,5.0,5.2,5.2
Africa,Cabo Verde,1.82,2.69,3.52,4.32,5.32,6.07,6.81,8.28,14.0,21.0,30.0,32.0,34.74,37.5,40.26,42.68,50.32,57.16,59.5,61.94,61.94
Asia and the Pacific,Cambodia,0.05,0.08,0.23,0.26,0.3,0.32,0.47,0.49,0.51,0.53,1.26,3.1,4.94,6.0,14.0,18.0,32.4,32.9,65.0,78.27,78.8
Africa,Cameroon,0.25,0.28,0.36,0.59,0.98,1.4,2.03,2.93,3.4,3.84,4.3,5.0,7.5,10.0,16.21,18.3,20.6,23.2,29.7,33.5,33.5
Western Europe and North America,Canada,51.3,60.2,61.59,64.2,65.96,71.66,72.4,73.2,76.7,80.3,80.3,83.0,83.0,85.8,87.12,90.0,91.16,92.7,94.64,96.5,96.5
Africa,Chad,0.04,0.05,0.17,0.32,0.36,0.4,0.58,0.85,1.19,1.5,1.7,1.9,2.1,2.5,2.9,3.5,5.0,6.5,8.0,9.8,10.4
Asia and the Pacific,China,1.78,2.64,4.6,6.2,7.3,8.52,10.52,16.0,22.6,28.9,34.3,38.3,42.3,45.8,47.9,50.3,53.2,54.3,59.2,64.57,70.64
Latin America and the Caribbean,Colombia,2.21,2.85,4.6,7.39,9.12,11.01,15.34,21.8,25.6,30.0,36.5,40.35,48.98,51.7,52.57,55.9,58.14,62.26,64.13,65.01,65.01
Latin America and the Caribbean,Costa Rica,5.8,9.56,19.89,20.33,20.79,22.07,25.1,28.4,32.29,34.33,36.5,39.21,47.5,45.96,53.0,59.76,65.88,71.58,73.48,81.2,80.53
Africa,Côte d'Ivoire,0.23,0.4,0.5,0.76,0.85,1.04,1.52,1.8,1.9,2.0,2.7,2.9,5.0,12.0,19.27,38.44,41.21,43.84,37.55,36.29,36.29
Central and Eastern Europe,Croatia,6.64,11.56,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.79,61.94,66.75,68.57,69.85,72.7,67.1,75.29,79.08,78.32
Latin America and the Caribbean,Cuba,0.54,1.08,3.77,5.24,8.41,9.74,11.16,11.69,12.94,14.33,15.9,16.02,21.2,27.93,29.07,37.31,42.98,57.15,62.68,67.97,67.97
Western Europe and North America,Cyprus,15.26,18.82,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.86,60.69,65.45,69.33,71.72,75.9,80.74,84.43,86.06,90.8
Central and Eastern Europe,Czech Republic,9.78,14.7,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43,74.11,74.23,75.67,76.48,78.72,80.69,80.87,81.34
Africa,Dem. Rep. of the Congo,0.01,0.01,0.09,0.13,0.2,0.24,0.3,0.37,0.44,0.56,0.72,1.2,1.68,2.2,3.0,3.8,6.21,8.62,11.7,12.5,12.5
Western Europe and North America,Denmark,39.17,42.96,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81,92.26,94.63,95.99,96.33,96.97,97.1,97.32,98.05,96.55
Africa,Djibouti,0.19,0.34,0.49,0.63,0.78,0.95,1.27,1.62,2.26,4.0,6.5,7.0,9.4,12.7,17.0,22.9,30.8,55.68,58.0,59.0,59.0
Latin America and the Caribbean,Dominican Rep.,3.7,4.43,6.82,7.9,8.87,11.48,14.84,17.66,20.82,27.72,31.4,38.0,42.32,45.9,49.58,54.22,63.87,67.57,74.82,75.8,75.8
Arab Region,Egypt,0.64,0.84,2.72,4.04,11.92,12.75,13.66,16.03,18.01,20.0,21.6,25.6,26.4,29.4,33.89,37.82,41.25,44.95,46.92,57.28,71.91
Latin America and the Caribbean,El Salvador,1.18,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15.9,18.9,20.32,23.11,24.76,26.8,29.0,33.82,43.8,50.49,50.49
Central and Eastern Europe,Estonia,28.58,31.53,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.39,80.0,84.24,88.41,87.24,88.1,89.36,90.23,89.06
Africa,Ethiopia,0.02,0.04,0.07,0.11,0.16,0.22,0.31,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.86,15.37,18.62,22.0,25.0,25.0
Western Europe and North America,Finland,37.25,43.11,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.71,89.88,91.51,86.53,86.42,87.7,87.47,88.89,89.61,92.17
Western Europe and North America,France,14.31,26.33,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.82,81.44,81.92,83.75,78.01,79.27,80.5,82.04,83.34,83.34
Africa,Gabon,1.22,1.35,1.94,2.66,2.98,4.89,5.49,5.77,7.5,9.5,13.0,18.0,24.0,30.54,38.07,45.78,48.05,50.32,59.6,61.0,61.0
Africa,Gambia,0.92,1.34,1.8,2.44,3.31,3.8,5.24,6.21,6.88,7.63,9.2,10.87,12.45,14.0,15.56,19.7,25.0,32.0,40.0,51.0,51.0
