year,month,0
2016,1,1
2016,2,6
2016,3,4
2016,4,5
2016,5,7
2016,6,12
2016,7,9
2016,8,9
2016,9,5
2016,10,7
2016,11,3
2016,12,8
2017,1,7
2017,2,4
2017,3,5
2017,4,6
2017,5,6
2017,6,9
2017,7,16
2017,8,12
2017,9,14
2017,10,3
2017,11,8
2017,12,16
2018,1,14
2018,2,9
2018,3,24
2018,4,25
2018,5,13
2018,6,14
2018,7,22
2018,8,17
2018,9,14
2018,10,19
2018,11,14
2018,12,14
2019,1,18
2019,2,18
2019,3,19
2019,4,25
2019,5,30
2019,6,36
2019,7,15
2019,8,11
2019,9,8
2019,10,10
2019,11,8
2019,12,13
2020,1,11
2020,2,11
2020,3,5
2020,4,10
2020,5,19
2020,6,21
2020,7,12
2020,8,11
2020,9,11
2020,10,15
2020,11,13
2020,12,12
